Specimen_AllReader_Record5 No ,  

Time (h.m.s.ms),              ID:3 R1 (X)                   ID:3 R1 (Y)                   ID:2 R2 (X)                   ID:2 R2 (Y)                   ID:4 R3 (X)                   ID:4 R3 (Y)                   ID:6 R4 (X)                   ID:6 R4 (Y)                   ID:7 R5 (X)                   ID:7 R5 (Y)                   ID:8 R6 (X)                   ID:8 R6 (Y)                   R7 T (N��m),                  R8 D (cm)                     
13:16:57.565                  3.5996                        -0.4282                       5.5093                        0.6457                        -1.5383                       -17.5492                      1.76                          -0.5339                       0.4668                        -1.7481                       0.6697                        -3.6354                       0                             0.299                         
13:16:57.835                  3.599                         -0.4284                       5.5089                        0.6457                        -1.5384                       -17.5489                      1.7601                        -0.5337                       0.4668                        -1.7484                       0.6702                        -3.6348                       0                             0.3                           
13:16:58.105                  3.5982                        -0.4289                       5.5095                        0.6458                        -1.5386                       -17.5488                      1.7602                        -0.5337                       0.4668                        -1.7485                       0.6702                        -3.6342                       0                             0.3                           
13:16:58.395                  3.5977                        -0.4291                       5.5103                        0.6455                        -1.5387                       -17.5487                      1.7599                        -0.5336                       0.467                         -1.7485                       0.6703                        -3.6343                       0                             0.3                           
13:16:58.665                  3.5978                        -0.4289                       5.5106                        0.6451                        -1.5383                       -17.5485                      1.7595                        -0.5336                       0.4672                        -1.7485                       0.6703                        -3.6345                       0                             0.3                           
13:16:58.935                  3.598                         -0.4287                       5.5106                        0.6446                        -1.5382                       -17.5486                      1.7596                        -0.5341                       0.4676                        -1.7485                       0.6707                        -3.6346                       0                             0.3                           
13:16:59.225                  3.5981                        -0.4286                       5.5105                        0.6444                        -1.5384                       -17.5493                      1.7602                        -0.5349                       0.4675                        -1.7483                       0.6708                        -3.6345                       0                             0.299                         
13:16:59.495                  3.5984                        -0.4285                       5.5108                        0.6446                        -1.5384                       -17.5503                      1.7605                        -0.535                        0.4673                        -1.7481                       0.6707                        -3.6344                       0                             0.3                           
13:16:59.764                  3.599                         -0.4286                       5.511                         0.6448                        -1.5382                       -17.5506                      1.7604                        -0.535                        0.4675                        -1.7478                       0.6706                        -3.6341                       0                             0.3                           
13:17:00.054                  3.5993                        -0.4285                       5.5107                        0.6453                        -1.5383                       -17.5503                      1.7603                        -0.5347                       0.4679                        -1.7477                       0.6703                        -3.6342                       0                             0.299                         
13:17:00.324                  3.599                         -0.4289                       5.5101                        0.6462                        -1.5384                       -17.5497                      1.7601                        -0.5345                       0.468                         -1.748                        0.6702                        -3.6344                       0                             0.3                           
