Specimen_AllReader_Record7 No ,  

Time (h.m.s.ms),              ID:2 R1 (X)                   ID:2 R1 (Y)                   R2 D (cm)                     ID:3 R3 (X)                   ID:3 R3 (Y)                   R4 T (N��m),                  ID:4 R5 (X)                   ID:4 R5 (Y)                   ID:6 R6 (X)                   ID:6 R6 (Y)                   ID:7 R7 (X)                   ID:7 R7 (Y)                   ID:8 R8 (X)                   ID:8 R8 (Y)                   
14:04:18.443                  5.1487                        0.5207                        0.298                         2.9643                        -0.3295                       0                             -1.5672                       -17.4818                      1.5811                        -2.4681                       0.4997                        -1.6753                       0.6743                        -3.5387                       
14:04:19.448                  5.1499                        0.5201                        0.299                         2.9656                        -0.3303                       0                             -1.5679                       -17.4835                      1.5814                        -2.4672                       0.5                           -1.6736                       0.6755                        -3.5389                       
14:04:20.468                  5.1487                        0.5207                        0.298                         2.9653                        -0.3288                       0                             -1.5671                       -17.4834                      1.5816                        -2.4668                       0.4993                        -1.6746                       0.6749                        -3.5387                       
14:04:21.479                  5.149                         0.5212                        0.298                         2.9652                        -0.3304                       0                             -1.5667                       -17.484                       1.5813                        -2.4669                       0.4997                        -1.6745                       0.6746                        -3.539                        
14:04:22.469                  5.1491                        0.5211                        0.298                         2.9659                        -0.3303                       0                             -1.5678                       -17.4826                      1.5826                        -2.4677                       0.5009                        -1.674                        0.675                         -3.54                         
14:04:23.478                  5.1495                        0.5216                        0.298                         2.9647                        -0.3306                       0                             -1.5681                       -17.4829                      1.5815                        -2.4664                       0.4999                        -1.6739                       0.6737                        -3.5394                       
14:04:24.498                  5.1487                        0.5215                        0.298                         2.964                         -0.33                         0                             -1.5675                       -17.4829                      1.582                         -2.4666                       0.4997                        -1.6749                       0.6752                        -3.5384                       
14:04:25.508                  5.1491                        0.5217                        0.298                         2.9642                        -0.3298                       0                             -1.5685                       -17.4826                      1.5807                        -2.4664                       0.4996                        -1.6745                       0.6751                        -3.5396                       
14:04:26.508                  5.1487                        0.52                          0.298                         2.9646                        -0.33                         0                             -1.5678                       -17.482                       1.582                         -2.466                        0.5006                        -1.6747                       0.6755                        -3.5398                       
14:04:27.538                  5.1493                        0.5218                        0.298                         2.9639                        -0.3302                       0                             -1.5688                       -17.4818                      1.5825                        -2.4662                       0.4996                        -1.674                        0.6745                        -3.5382                       
14:04:28.548                  5.15                          0.5206                        0.298                         2.9634                        -0.33                         0                             -1.567                        -17.4835                      1.5813                        -2.4657                       0.5001                        -1.6743                       0.6741                        -3.5393                       
14:04:29.538                  5.1488                        0.5197                        0.298                         2.964                         -0.3305                       0                             -1.568                        -17.4829                      1.5816                        -2.4663                       0.5                           -1.6745                       0.6751                        -3.5397                       
14:04:30.578                  5.1481                        0.5211                        0.298                         2.9637                        -0.3309                       0                             -1.5674                       -17.4834                      1.5814                        -2.4653                       0.5007                        -1.6744                       0.6756                        -3.539                        
14:04:31.548                  5.1493                        0.521                         0.298                         2.9638                        -0.3305                       0                             -1.5666                       -17.4824                      1.5814                        -2.4648                       0.4998                        -1.6746                       0.6763                        -3.5394                       
14:04:32.578                  5.1487                        0.5197                        0.298                         2.9632                        -0.3307                       0                             -1.5676                       -17.4819                      1.5812                        -2.4643                       0.5009                        -1.6739                       0.675                         -3.5391                       
14:04:33.578                  5.1475                        0.5216                        0.298                         2.9631                        -0.3306                       0                             -1.5683                       -17.4833                      1.5815                        -2.4643                       0.5004                        -1.6749                       0.6744                        -3.539                        
14:04:34.608                  5.1487                        0.5208                        0.298                         2.9633                        -0.3304                       0                             -1.5676                       -17.4827                      1.5809                        -2.4635                       0.5002                        -1.6733                       0.6739                        -3.5391                       
14:04:35.608                  5.1483                        0.5197                        0.298                         2.9642                        -0.3314                       0                             -1.5683                       -17.4826                      1.5818                        -2.4638                       0.4996                        -1.6735                       0.6745                        -3.5389                       
14:04:36.608                  5.1478                        0.5211                        0.299                         2.9642                        -0.3299                       0                             -1.5672                       -17.4825                      1.5822                        -2.4634                       0.4997                        -1.673                        0.6749                        -3.5394                       
14:04:37.638                  5.1476                        0.5217                        0.298                         2.9632                        -0.3297                       0                             -1.5667                       -17.4824                      1.5823                        -2.4645                       0.5007                        -1.6737                       0.6746                        -3.5382                       
14:04:38.648                  5.1484                        0.5214                        0.298                         2.9627                        -0.3309                       0                             -1.5689                       -17.4828                      1.5819                        -2.4635                       0.5003                        -1.6744                       0.6748                        -3.539                        
14:04:39.637                  5.148                         0.5212                        0.298                         2.9629                        -0.3303                       0                             -1.5677                       -17.4822                      1.581                         -2.4628                       0.5008                        -1.6739                       0.6747                        -3.538                        
14:04:40.647                  5.1485                        0.5205                        0.298                         2.9628                        -0.329                        0                             -1.5678                       -17.4823                      1.5821                        -2.4631                       0.4995                        -1.674                        0.6748                        -3.5392                       
14:04:41.657                  5.1479                        0.5198                        0.298                         2.9627                        -0.3289                       0                             -1.5693                       -17.4829                      1.5821                        -2.4632                       0.5003                        -1.6745                       0.6744                        -3.5378                       
14:04:42.677                  5.1486                        0.5204                        0.298                         2.963                         -0.3291                       0                             -1.5676                       -17.4836                      1.5827                        -2.4631                       0.4999                        -1.6735                       0.6743                        -3.5384                       
14:04:43.687                  5.1478                        0.5214                        0.298                         2.9626                        -0.3302                       0                             -1.5673                       -17.4821                      1.5818                        -2.4623                       0.5                           -1.6734                       0.6745                        -3.5387                       
14:04:44.707                  5.1476                        0.5205                        0.298                         2.9612                        -0.329                        0                             -1.5676                       -17.4831                      1.5806                        -2.4625                       0.4993                        -1.6738                       0.6739                        -3.5384                       
14:04:45.717                  5.1471                        0.52                          0.298                         2.9619                        -0.3297                       0                             -1.5677                       -17.4832                      1.581                         -2.4624                       0.5001                        -1.6728                       0.6739                        -3.54                         
14:04:46.707                  5.1468                        0.5214                        0.298                         2.961                         -0.3292                       0                             -1.568                        -17.4816                      1.5816                        -2.4611                       0.4999                        -1.6731                       0.6742                        -3.5385                       
14:04:47.717                  5.147                         0.5202                        0.298                         2.961                         -0.3292                       0                             -1.5676                       -17.4818                      1.5818                        -2.4623                       0.4999                        -1.6731                       0.6755                        -3.5392                       
14:04:48.727                  5.1487                        0.5213                        0.298                         2.9609                        -0.3297                       0                             -1.5684                       -17.482                       1.5824                        -2.4615                       0.5003                        -1.6736                       0.6756                        -3.5394                       
14:04:49.747                  5.1475                        0.5213                        0.298                         2.9621                        -0.3294                       0                             -1.5682                       -17.4834                      1.5815                        -2.4613                       0.5005                        -1.6746                       0.6744                        -3.5389                       
14:04:50.757                  5.1474                        0.5204                        0.298                         2.9619                        -0.3295                       0                             -1.5675                       -17.4823                      1.5817                        -2.4618                       0.4999                        -1.6744                       0.6752                        -3.5382                       
14:04:51.757                  5.1467                        0.5191                        0.298                         2.9606                        -0.329                        0                             -1.5689                       -17.4821                      1.5821                        -2.462                        0.4998                        -1.6739                       0.6748                        -3.5383                       
14:04:52.787                  5.147                         0.5211                        0.298                         2.9618                        -0.3294                       0                             -1.568                        -17.4829                      1.5818                        -2.4607                       0.5005                        -1.6745                       0.6748                        -3.5385                       
14:04:53.757                  5.1465                        0.52                          0.298                         2.962                         -0.3289                       0                             -1.5674                       -17.4836                      1.5816                        -2.4602                       0.5003                        -1.6742                       0.674                         -3.5399                       
14:04:54.787                  5.1461                        0.5196                        0.298                         2.9606                        -0.3297                       0                             -1.5681                       -17.4823                      1.5822                        -2.4608                       0.5003                        -1.6749                       0.6759                        -3.5385                       
14:04:55.827                  5.1469                        0.5201                        0.298                         2.9608                        -0.3293                       0                             -1.5675                       -17.4827                      1.581                         -2.4604                       0.5003                        -1.6747                       0.6752                        -3.5388                       
14:04:56.816                  5.1474                        0.5204                        0.298                         2.9615                        -0.3287                       0                             -1.5678                       -17.4824                      1.5816                        -2.4601                       0.5009                        -1.6742                       0.6737                        -3.5389                       
14:04:57.816                  5.1456                        0.5195                        0.298                         2.9612                        -0.3289                       0                             -1.5674                       -17.4822                      1.5826                        -2.4596                       0.5003                        -1.6734                       0.6751                        -3.5386                       
