Specimen_AllReader_Record4 No ,  

Time (h.m.s.ms),              ID:2 R1 (X)                   ID:2 R1 (Y)                   ID:4 R3 (X)                   ID:4 R3 (Y)                   ID:7 R5 (X)                   ID:7 R5 (Y)                   ID:8 R6 (X)                   ID:8 R6 (Y)                   R7 T (N��m),                  R8 D (cm)                     
12:50:50.293                  6.1918                        1.0699                        -1.5407                       -17.6236                      0.9053                        -17.3146                      -0.0257                       -43.1541                      0                             0.3                           
12:50:50.483                  6.1903                        1.0688                        -1.5409                       -17.6234                      0.9047                        -17.3146                      -0.0187                       -43.1487                      0                             0.3                           
12:50:50.693                  6.1886                        1.0677                        -1.5414                       -17.6234                      0.9044                        -17.3142                      -0.013                        -43.1444                      0                             0.3                           
12:50:50.893                  6.1869                        1.0666                        -1.5417                       -17.6236                      0.9044                        -17.3141                      -0.0075                       -43.1404                      0                             0.3                           
12:50:51.123                  6.1858                        1.0659                        -1.5421                       -17.6242                      0.9045                        -17.3143                      -0.0011                       -43.1361                      0                             0.3                           
12:50:51.343                  6.1852                        1.065                         -1.5422                       -17.6247                      0.9049                        -17.3146                      0.0052                        -43.1321                      0                             0.3                           
12:50:51.563                  6.1848                        1.0642                        -1.542                        -17.6249                      0.905                         -17.3146                      0.0115                        -43.1283                      0                             0.3                           
12:50:51.773                  6.1844                        1.0636                        -1.5414                       -17.6246                      0.9047                        -17.3145                      0.0174                        -43.1244                      0                             0.3                           
12:50:51.983                  6.1835                        1.0636                        -1.5412                       -17.6245                      0.9044                        -17.3145                      0.0221                        -43.121                       0                             0.3                           
12:50:52.193                  6.1827                        1.0637                        -1.5414                       -17.6246                      0.9047                        -17.3141                      0.0271                        -43.1172                      0                             0.3                           
12:50:52.413                  6.1821                        1.0636                        -1.5417                       -17.6248                      0.9052                        -17.3136                      0.0311                        -43.1141                      0                             0.3                           
12:50:52.643                  6.1816                        1.0628                        -1.5417                       -17.6249                      0.9058                        -17.3131                      0.0362                        -43.1104                      0                             0.3                           
12:50:52.863                  6.1808                        1.0618                        -1.5414                       -17.6245                      0.9057                        -17.313                       0.0419                        -43.1063                      0                             0.3                           
12:50:53.073                  6.1795                        1.0608                        -1.5414                       -17.6239                      0.9051                        -17.3136                      0.0479                        -43.1016                      0                             0.301                         
12:50:53.283                  6.1781                        1.0603                        -1.5414                       -17.6236                      0.9045                        -17.3143                      0.0526                        -43.0976                      0                             0.3                           
12:50:53.483                  6.177                         1.0601                        -1.5415                       -17.6235                      0.9042                        -17.3148                      0.058                         -43.0933                      0                             0.3                           
12:50:53.713                  6.1763                        1.0595                        -1.541                        -17.6236                      0.9042                        -17.3148                      0.0627                        -43.0897                      0                             0.3                           
12:50:53.933                  6.1754                        1.0588                        -1.5406                       -17.6234                      0.9043                        -17.3146                      0.0689                        -43.0853                      0                             0.3                           
12:50:54.153                  6.1745                        1.0581                        -1.5404                       -17.6231                      0.9041                        -17.3147                      0.0757                        -43.0804                      0                             0.3                           
12:50:54.363                  6.1735                        1.058                         -1.5408                       -17.6228                      0.9038                        -17.315                       0.0825                        -43.0754                      0                             0.3                           
12:50:54.573                  6.1729                        1.0581                        -1.541                        -17.6223                      0.9035                        -17.3153                      0.089                         -43.07                        0                             0.3                           
12:50:54.782                  6.1723                        1.0582                        -1.5412                       -17.622                       0.9034                        -17.3154                      0.0946                        -43.0654                      0                             0.3                           
12:50:55.002                  6.1715                        1.0581                        -1.5411                       -17.6221                      0.9033                        -17.3153                      0.1006                        -43.0607                      0                             0.3                           
12:50:55.232                  6.1706                        1.0576                        -1.5409                       -17.6224                      0.9033                        -17.3148                      0.1082                        -43.0555                      0                             0.3                           
12:50:55.452                  6.1698                        1.0569                        -1.5404                       -17.6225                      0.9032                        -17.314                       0.1157                        -43.0504                      0                             0.3                           
12:50:55.672                  6.1693                        1.0565                        -1.5402                       -17.6221                      0.9039                        -17.3131                      0.1231                        -43.0454                      0                             0.3                           
12:50:55.882                  6.1686                        1.0561                        -1.54                         -17.6212                      0.9053                        -17.3126                      0.13                          -43.0403                      0                             0.3                           
12:50:56.112                  6.1679                        1.0557                        -1.54                         -17.6207                      0.9064                        -17.3123                      0.1372                        -43.0353                      0                             0.3                           
12:50:56.332                  6.167                         1.055                         -1.5397                       -17.6207                      0.9069                        -17.3123                      0.1444                        -43.0306                      0                             0.3                           
12:50:56.552                  6.1664                        1.0544                        -1.5396                       -17.6211                      0.9067                        -17.3121                      0.1516                        -43.026                       0                             0.3                           
12:50:56.782                  6.1659                        1.0541                        -1.5394                       -17.6215                      0.9061                        -17.312                       0.1586                        -43.0215                      0                             0.3                           
12:50:56.992                  6.1653                        1.054                         -1.5395                       -17.6217                      0.9059                        -17.3117                      0.1655                        -43.0169                      0                             0.3                           
