Specimen_AllReader_Record8 No ,  

Time (h.m.s.ms),              ID:3 R1 (X)                   ID:3 R1 (Y)                   R2 D (cm)                     R3 T (N��m),                  ID:2 R4 (X)                   ID:2 R4 (Y)                   ID:4 R5 (X)                   ID:4 R5 (Y)                   ID:6 R6 (X)                   ID:6 R6 (Y)                   ID:7 R7 (X)                   ID:7 R7 (Y)                   ID:8 R8 (X)                   ID:8 R8 (Y)                   
15:32:48.422                  0.9609                        -0.4555                       0.298                         0                             2.6542                        0.7031                        -1.6946                       -16.8203                      1.466                         -0.7794                       0.4821                        -1.6171                       0.6684                        -3.4417                       
15:32:49.428                  0.9606                        -0.4568                       0.298                         0                             2.6547                        0.7014                        -1.6943                       -16.8213                      1.4668                        -0.7793                       0.4825                        -1.6186                       0.6683                        -3.4423                       
15:32:50.420                  0.9611                        -0.4561                       0.299                         0                             2.6541                        0.7016                        -1.6939                       -16.8202                      1.4662                        -0.7785                       0.4809                        -1.6182                       0.6683                        -3.4423                       
15:32:51.428                  0.961                         -0.456                        0.299                         0                             2.6537                        0.7021                        -1.6951                       -16.8219                      1.4664                        -0.7779                       0.482                         -1.6175                       0.669                         -3.4422                       
15:32:52.435                  0.9609                        -0.4562                       0.298                         0                             2.6541                        0.7021                        -1.6943                       -16.8209                      1.466                         -0.7792                       0.4823                        -1.6193                       0.669                         -3.4419                       
15:32:53.458                  0.9599                        -0.4566                       0.298                         0                             2.6539                        0.7018                        -1.6952                       -16.8213                      1.4663                        -0.7798                       0.4814                        -1.6189                       0.6681                        -3.4423                       
15:32:54.465                  0.9616                        -0.4557                       0.298                         0                             2.6543                        0.7026                        -1.6943                       -16.822                       1.4657                        -0.7779                       0.4823                        -1.6181                       0.6688                        -3.442                        
15:32:55.472                  0.9607                        -0.4568                       0.298                         0                             2.6534                        0.703                         -1.695                        -16.8218                      1.4661                        -0.7781                       0.4826                        -1.619                        0.6685                        -3.4417                       
15:32:56.496                  0.9614                        -0.4548                       0.298                         0                             2.6534                        0.7019                        -1.6939                       -16.821                       1.4662                        -0.7789                       0.482                         -1.6174                       0.6685                        -3.4417                       
15:32:57.503                  0.9599                        -0.4556                       0.299                         0                             2.6538                        0.7021                        -1.6949                       -16.8202                      1.4659                        -0.7787                       0.4812                        -1.6193                       0.6689                        -3.4413                       
15:32:58.511                  0.9599                        -0.4556                       0.298                         0                             2.654                         0.7018                        -1.696                        -16.8217                      1.4659                        -0.7789                       0.4827                        -1.6186                       0.6689                        -3.4413                       
15:32:59.534                  0.9606                        -0.4557                       0.299                         0                             2.6531                        0.7031                        -1.695                        -16.8214                      1.4662                        -0.7789                       0.4824                        -1.6181                       0.6698                        -3.4413                       
15:33:00.509                  0.961                         -0.4555                       0.298                         0                             2.6531                        0.7017                        -1.6946                       -16.8198                      1.4659                        -0.7791                       0.4812                        -1.6184                       0.6685                        -3.4421                       
15:33:01.533                  0.9593                        -0.4565                       0.298                         0                             2.6539                        0.7012                        -1.6966                       -16.8214                      1.4655                        -0.7778                       0.4828                        -1.619                        0.6686                        -3.4415                       
15:33:02.572                  0.9595                        -0.4562                       0.298                         0                             2.6534                        0.7011                        -1.6956                       -16.8212                      1.4666                        -0.7783                       0.481                         -1.6176                       0.6697                        -3.4421                       
15:33:03.564                  0.9608                        -0.4559                       0.298                         0                             2.6529                        0.7016                        -1.6948                       -16.8225                      1.4661                        -0.7793                       0.4816                        -1.6182                       0.6694                        -3.4411                       
15:33:04.571                  0.9593                        -0.456                        0.299                         0                             2.6534                        0.7023                        -1.6956                       -16.8201                      1.4657                        -0.7795                       0.4821                        -1.6183                       0.6681                        -3.4418                       
15:33:05.578                  0.9601                        -0.4548                       0.298                         0                             2.6525                        0.7026                        -1.6942                       -16.8218                      1.4656                        -0.7777                       0.4807                        -1.6181                       0.6687                        -3.4418                       
15:33:06.601                  0.9616                        -0.4539                       0.299                         0                             2.6532                        0.7016                        -1.6957                       -16.8208                      1.465                         -0.7791                       0.4824                        -1.6182                       0.668                         -3.442                        
